rank,Youtuber,subscribers,video views,video count,category,started
197,大佬你唔好咁痴線啦dudeareyoucrazy大佬你唔好咁痴線啦dudeareyoucrazy ,"115,000","1,621,095",487,Pets & Animals,2012
198,falllabfalllab ,"115,000","36,972,591",365,Entertainment,2015
199,penguinsixpenguinsix ,"113,000","18,800,166","1,192",News & Politics,2006
200,seanlaiseanlai ,"112,000","63,339,214","2,379",Entertainment,2010
201,cheerS beautycheerS beauty ,"111,000","19,437,215",323,People & Blogs,2013
202,Tatfullclipbackup2Tatfullclipbackup2 ,"110,296","6,588",0,Gaming,2013
203,Creamy YickCreamy Yick ,"110,000","3,128,338",19,People & Blogs,2013
204,一起看剧吧一起看剧吧 ,"110,000","92,755,264","3,888",Entertainment,2020
205,東周網 Eastweek.com.hk【東周刊官方網站】東周網 Eastweek.com.hk【東周刊官方網站】 ,"109,000","147,972,323","12,215",People & Blogs,2009
206,Dai Wing PlayDai Wing Play ,"109,000",0,0,People & Blogs,2014
207,攪屎棍 PoopStirrer攪屎棍 PoopStirrer ,"109,000","29,325,715",365,Entertainment,2015
208,Garson 嘉神Garson 嘉神 ,"108,000","48,633,280","1,577",Gaming,2013
209,AmourBeauty JMAmourBeauty JM ,"107,000","15,745,352",202,People & Blogs,2012
210,Kitling_雀斑妹Kitling_雀斑妹 ,"107,000","11,272,980",76,People & Blogs,2013
211,渔农小池渔农小池 ,"106,000","99,207,850","1,267",People & Blogs,2018
212,ERRORERROR ,"106,000","13,721,783",47,Entertainment,2018
213,冤枉娛樂冤枉娛樂 ,"106,000","38,735,722",304,Entertainment,2018
214,MIHK.tv_Youtube第二台MIHK.tv_Youtube第二台 ,"105,000","40,622,700","8,753",Entertainment,2015
215,DidoPopcorn 秋本桐DidoPopcorn 秋本桐 ,"102,000",0,0,Gaming,2013
216,BETHNI YBETHNI Y ,"102,000","14,044,294",309,Howto & Style,2013
217,翼 WingsThunder翼 WingsThunder ,"101,000","28,976,992","1,107",Gaming,2014
218,U Magazine HK OfficialU Magazine HK Official ,"101,000","31,520,918","4,544",,2011
219,挽歌之聲挽歌之聲 ,"100,000","29,761,977",146,Music,2012
220,MingszeMingsze ,"99,800","26,185,608",228,People & Blogs,2010
221,HEYMAN LAMHEYMAN LAM ,"99,600","10,530,355",184,People & Blogs,2014
222,S P O O N C H A NS P O O N C H A N ,"99,200","6,612,663",101,People & Blogs,2014
223,夏目夏目 ,"97,924","49,703,169",170,Film & Animation,2012
224,翼王翼王 ,"97,500","14,938,420",149,Science & Technology,2018
225,ViuTV WorldViuTV World ,"96,500","26,703,079","3,888",Entertainment,2020
226,AMusic Official ChannelAMusic Official Channel ,"96,200","176,663,979",147,Music,2013
227,大阪ANDY哥大阪ANDY哥 ,"95,400","21,171,225",338,People & Blogs,2016
228,曾鎧琪 AliSon Tsang曾鎧琪 AliSon Tsang ,"95,400","22,813,353",466,People & Blogs,2011
229,Hak MeHak Me ,"95,000","36,218,262","1,221",Howto & Style,2011
230,Now TVNow TV ,"94,900","28,169,336","5,660",Music,2006
231,Highway RecordingHighway Recording ,"94,900","20,016,500",641,Film & Animation,2017
232,Hey JenniFAHey JenniFA ,"94,600","12,236,015",301,Howto & Style,2016
233,浙江卫视【王牌对王牌】官方频道 Ace VS Ace Channel浙江卫视【王牌对王牌】官方频道 Ace VS Ace Channel ,"93,800","40,774,035","1,178",Entertainment,2020
234,Poor travel x 2 GirlsPoor travel x 2 Girls ,"93,400","21,878,675",763,Travel & Events,2016
235,AC世界新聞頻道AC世界新聞頻道 ,"93,000","12,221,582",450,News & Politics,2014
236,防腐辦公室防腐辦公室 ,"92,600","61,421",31,Gaming,2012
237,光頭幫 TomFatKi光頭幫 TomFatKi ,"92,500","21,023,430",182,People & Blogs,2017
238,達人巷達人巷 ,"90,800","17,950,270",333,Howto & Style,2015
239,TIK LEETIK LEE ,"90,300","83,005,230","5,056",Gaming,2010
240,Dai WingDai Wing ,"90,200",0,0,People & Blogs,2013
241,會笑的汽水會笑的汽水 ,"89,900","25,934,394",213,Comedy,2015
242,am730am730 ,"89,600","31,378,459","4,485",People & Blogs,2011
243,20無限20無限 ,"89,300","33,078,382",709,Howto & Style,2017
244,Auto Guyz Relation拍車男Auto Guyz Relation拍車男 ,"89,200","21,531,743",384,Autos & Vehicles,2016
245,HK TunesHK Tunes ,"88,300","81,257,441",216,Music,2010
246,pmame32pmame32 ,"88,000","94,246,252","4,491",Film & Animation,2007
247,Queenie ChanQueenie Chan ,"86,200","9,536,680",85,Howto & Style,2010
248,EHP Music ChannelEHP Music Channel ,"86,100","23,466,930",7,Music,2016
249,JackzJackz ,"85,800","79,082,850",567,News & Politics,2006
250,Post76影音玩樂Post76影音玩樂 ,"85,100","27,704,015","1,726",People & Blogs,2011
251,Data MaData Ma ,"83,700","25,509,693",598,Travel & Events,2017
252,Benja & Momo ChannelBenja & Momo Channel ,"83,400","12,122,772",182,People & Blogs,2017
253,Hong Kong CricketHong Kong Cricket ,"83,100","7,043,734",483,Sports,2015
254,24HERBS24HERBS ,"82,300","28,105,193",159,Music,2006
255,瑞森老哥Reason瑞森老哥Reason ,"81,800","9,171,887",71,People & Blogs,2021
256,發兔冷知識發兔冷知識 ,"81,739","131,196",21,Gaming,2016
257,potatofish yupotatofish yu ,"81,600","18,383,261",340,People & Blogs,2014
